"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 22 17:18:30 EET 2022","Tue Nov 22 17:18:57 EET 2022","26685","Default Suite","ttPay_POM","Login.Login_Basic_TopUp","Login.Login_Basic_TopUp","Basic_TopUp","Basic_TopUp","Para Yükleme ve Kontrol Testi"
"passed","Fri Nov 25 16:37:29 EET 2022","Fri Nov 25 16:38:12 EET 2022","43535","Basic Suite","ttPay_POM","Verified.ParaIsteKayitliKisidenTest","Verified.ParaIsteKayitliKisidenTest","KayitliKisidenParaIste","KayitliKisidenParaIste","Para İsteme senaryosu."
"passed","Fri Nov 25 16:25:15 EET 2022","Fri Nov 25 16:25:53 EET 2022","38502","Basic Suite","ttPay_POM","Verified.GrupOlusturTest","Verified.GrupOlusturTest","GrupOlustur","GrupOlustur","Grup oluşturma ve Silme senaryosu"
"passed","Fri Nov 25 15:13:15 EET 2022","Fri Nov 25 15:14:03 EET 2022","47811","Command line suite","Command line test","Basic.AdresGuncelleTest","Basic.AdresGuncelleTest","AdresGuncelle","AdresGuncelle","Kayıtlı Kişiye Para Gönderme senaryosu"
"passed","Fri Nov 25 15:23:37 EET 2022","Fri Nov 25 15:23:57 EET 2022","19986","Command line suite","Command line test","Basic.ParaIsteKayitliKisidenTest","Basic.ParaIsteKayitliKisidenTest","KayitliKisidenParaIste","KayitliKisidenParaIste","Para İsteme senaryosu."
"passed","Fri Nov 25 17:21:08 EET 2022","Fri Nov 25 17:21:45 EET 2022","37645","Basic Suite","ttPay_POM","SemiVerified.ParaIsteTest","SemiVerified.ParaIsteTest","ParaIste","ParaIste","Para İsteme senaryosu."
"passed","Fri Nov 25 16:38:28 EET 2022","Fri Nov 25 16:39:18 EET 2022","50293","Basic Suite","ttPay_POM","Verified.ParaIsteTest","Verified.ParaIsteTest","ParaIste","ParaIste","Para İsteme senaryosu."
"passed","Fri Nov 25 17:42:19 EET 2022","Fri Nov 25 17:43:04 EET 2022","44974","Default Suite","ttPay_POM","SemiVerified.GrupOlusturTest","SemiVerified.GrupOlusturTest","GrupOlustur","GrupOlustur","Grup oluşturma ve silme testi."
"broken","Fri Nov 25 17:45:09 EET 2022","Fri Nov 25 17:46:08 EET 2022","59298","Default Suite","ttPay_POM","SemiVerified.PokusKartEkleTest","SemiVerified.PokusKartEkleTest","PokusKartEkle","PokusKartEkle","Pokus Kart Ekleme testi."
"passed","Fri Nov 25 17:23:32 EET 2022","Fri Nov 25 17:24:16 EET 2022","44296","Basic Suite","ttPay_POM","SemiVerified.SifreGuncelleTest","SemiVerified.SifreGuncelleTest","SifreGuncelle","SifreGuncelle","Sifre güncelleme testi. (Şifreyi güncellemez ekranı açar)"
"passed","Fri Nov 25 15:18:07 EET 2022","Fri Nov 25 15:18:21 EET 2022","14223","Command line suite","Command line test","Basic.KampanyalarTest","Basic.KampanyalarTest","LoginAndCheckCampaigns","LoginAndCheckCampaigns","Giriş testi."
"passed","Fri Nov 25 15:21:59 EET 2022","Fri Nov 25 15:22:19 EET 2022","20120","Command line suite","Command line test","Basic.KisiyeParaGonderTest","Basic.KisiyeParaGonderTest","KayitliKisiyeParaGonder","KayitliKisiyeParaGonder","Kayıtlı Kişiye Para Gönderme senaryosu"
"passed","Fri Nov 25 15:18:21 EET 2022","Fri Nov 25 15:18:28 EET 2022","7274","Command line suite","Command line test","Basic.KampanyalarTest","Basic.KampanyalarTest","Step2","Step2","Kampanyaları görüntüleme testi."
"broken","Tue Nov 29 16:52:45 EET 2022","Tue Nov 29 16:53:38 EET 2022","52405","Default Suite","ttPay_POM","Verified.GruptanParaIsteTest","Verified.GruptanParaIsteTest","GruptanParaIste","GruptanParaIste","Gruptan Para İsteme senaryosu"
